Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Annabel Beiner,17,1064,Amsterdam 2025-06-14 - Place: 3 Points: 896.0,NK 2023-09-02 - Place: 5 Points: 168.0,
Tessel van Manen,18,1050,Utrecht 2025-07-20 - Place: 5 Points: 798.0,NK 2023-09-02 - Place: 2 Points: 252.0,
Laura Verstraete,19,1039,Amsterdam 2025-06-14 - Place: 6 Points: 672.0,NK 2024-06-29 - Place: 10 Points: 367.36,
Alexandra Pelz,20,1008,Amsterdam 2025-06-14 - Place: 2 Points: 1008.0,,
Ilonka Thielen,21,959,NK 2024-06-29 - Place: 3 Points: 734.72,NK 2023-09-02 - Place: 3 Points: 224.0,
Shannon Dieltjes,22,918,NK 2024-06-29 - Place: 1 Points: 918.4,,
Loes de Groen,23,798,Utrecht 2025-07-20 - Place: 6 Points: 798.0,,
Albertine Brinksma,24,684,Almere 2025-09-13 - Place: 7 Points: 684.25,,
Anne baukje Bloem,25,684,Almere 2025-09-13 - Place: 7 Points: 684.25,,
Anna Junk,26,672,Amsterdam 2025-06-14 - Place: 6 Points: 672.0,,
Charlotte glastra van Loon,27,560,Amsterdam 2025-06-14 - Place: 7 Points: 560.0,,
Melanie Haeusel,28,560,Amsterdam 2025-06-14 - Place: 7 Points: 560.0,,
Tale Lechtenbörger,29,560,Amsterdam 2025-06-14 - Place: 8 Points: 560.0,,
Sanne Hogesteeger,30,560,Amsterdam 2025-06-14 - Place: 8 Points: 560.0,,
Michelle Sudjito,31,479,NK 2024-06-29 - Place: 11 Points: 367.36,NK 2023-09-02 - Place: 10 Points: 112.0,
Britt Engel,32,479,NK 2024-06-29 - Place: 11 Points: 367.36,NK 2023-09-02 - Place: 10 Points: 112.0,
Dana Voerman,33,459,NK 2024-06-29 - Place: 8 Points: 459.2,,
Rianne Voerman,34,459,NK 2024-06-29 - Place: 8 Points: 459.2,,
Maud Wieland,35,367,NK 2024-06-29 - Place: 9 Points: 367.36,,
Lisa Theijsmeijer,36,367,NK 2024-06-29 - Place: 9 Points: 367.36,,
Nici Friedman,37,367,NK 2024-06-29 - Place: 10 Points: 367.36,,
Clemence Joly,38,367,NK 2024-06-29 - Place: 12 Points: 367.36,,
Maud Loiseau,39,367,NK 2024-06-29 - Place: 12 Points: 367.36,,
Eline Meijer,40,280,NK 2023-09-02 - Place: 1 Points: 280.0,,
Lauma Ernestsone,41,252,NK 2023-09-02 - Place: 2 Points: 252.0,,
Merel Buijs,42,168,NK 2023-09-02 - Place: 6 Points: 168.0,,
Sophia Walser,43,168,NK 2023-09-02 - Place: 6 Points: 168.0,,
Annelies van Cooten,44,140,NK 2023-09-02 - Place: 8 Points: 140.0,,
Anna Strijker,45,140,NK 2023-09-02 - Place: 8 Points: 140.0,,
Merel Peletier,46,112,NK 2023-09-02 - Place: 9 Points: 112.0,,
Juliëtte Peletier,47,112,NK 2023-09-02 - Place: 9 Points: 112.0,,
Anneke Poelen,48,112,NK 2023-09-02 - Place: 11 Points: 112.0,,
Dorette Kouwenhoven,49,112,NK 2023-09-02 - Place: 11 Points: 112.0,,
Emma Boom,50,112,NK 2023-09-02 - Place: 12 Points: 112.0,,
Roos Denisse,51,112,NK 2023-09-02 - Place: 12 Points: 112.0,,
