Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Teodor Constantinescu,140,379,Enschede 2025-11-30 - Place: 14 Points: 379.05,,
Bart Haddink,141,376,Groningen 2024-02-11 - Place: 11 Points: 211.12,Groningen 2023-05-27 - Place: 10 Points: 164.64,
Maximilian Kamphoff,142,368,Enschede 2025-06-01 - Place: 13 Points: 367.5,,
Thomas Turner,143,365,Amsterdam 2024-01-20 - Place: 4 Points: 364.56,,
Jonas Adriaenssens,144,365,Amsterdam 2024-01-20 - Place: 4 Points: 364.56,,
Tabriz Popatia,145,352,Amsterdam 2023-06-17 - Place: 8 Points: 352.1,,
Paul Volle,146,352,Amsterdam 2023-06-17 - Place: 8 Points: 352.1,,
Annabel Beiner,147,343,Groningen 2024-05-04 - Place: 19 Points: 156.66,Amsterdam 2024-01-20 - Place: 24 Points: 104.16,Groningen 2023-05-27 - Place: 20 Points: 82.32
Tom Caniels,148,331,Enschede 2024-04-06 - Place: 15 Points: 260.82,Amsterdam 2023-06-17 - Place: 37 Points: 70.42,
Jasper Zeevaarder,149,330,EnschedeIndoor 2024-11-30 - Place: 11 Points: 330.4,,
Roel van Gerner,150,330,EnschedeIndoor 2024-11-30 - Place: 12 Points: 330.4,,
Daniel Horn,151,320,NK 2023-09-02 - Place: 13 Points: 179.34,Amsterdam 2023-06-17 - Place: 18 Points: 140.84,
Oscar Stolk,152,315,Groningen 2024-02-11 - Place: 14 Points: 158.34,Amsterdam 2024-01-20 - Place: 14 Points: 156.24,
Dante Vanderveken,153,312,Amsterdam 2024-01-20 - Place: 5 Points: 312.48,,
Johannes Lang,154,288,Groningen 2023-05-27 - Place: 4 Points: 288.12,,
Bas Cornelissen,155,285,NK 2024-06-29 - Place: 13 Points: 285.39,,
Daan Beelen,156,285,NK 2024-06-29 - Place: 13 Points: 285.39,,
Lukas Donovan,157,280,Enschede 2023-04-22 - Place: 1 Points: 280.0,,
Birk Warnecke,158,280,Enschede 2023-04-22 - Place: 1 Points: 280.0,,
Shannon Dieltjes,159,277,Groningen 2024-05-04 - Place: 14 Points: 234.99,Enschede 2023-04-22 - Place: 27 Points: 42.0,
Quinten van Duin,160,263,Groningen 2024-02-11 - Place: 15 Points: 158.34,Amsterdam 2024-01-20 - Place: 19 Points: 104.16,
Niels van Weerdenburg,161,263,Groningen 2024-02-11 - Place: 15 Points: 158.34,Amsterdam 2024-01-20 - Place: 22 Points: 104.16,
Matthijs G,162,262,Groningen 2024-05-04 - Place: 17 Points: 156.66,Groningen 2024-02-11 - Place: 18 Points: 105.56,
Tessel van Manen,163,262,Amsterdam 2024-06-01 - Place: 18 Points: 157.5,Amsterdam 2024-01-20 - Place: 20 Points: 104.16,
Britt Vankemenade,164,260,Amsterdam 2024-01-20 - Place: 8 Points: 260.4,,
Marie-alexia Teisseyre,165,260,Amsterdam 2024-01-20 - Place: 8 Points: 260.4,,
Timo Lochtenberg,166,251,Utrecht 2026-02-21 - Place: 17 Points: 250.6,,
Britt Engel,167,251,Utrecht 2026-02-21 - Place: 17 Points: 250.6,,
Gijs Cornielje,168,251,Utrecht 2026-02-21 - Place: 18 Points: 250.6,,
Max van der Heijden,169,251,Utrecht 2026-02-21 - Place: 18 Points: 250.6,,
Martin Sievert,170,239,NK 2023-09-02 - Place: 11 Points: 239.12,,
Mathias Gerstner,171,236,Amsterdam 2024-06-01 - Place: 13 Points: 236.25,,
Franka tabitha Etzel,172,235,Groningen 2024-05-04 - Place: 15 Points: 234.99,,
Lorenz Theobold,173,235,Groningen 2024-05-04 - Place: 15 Points: 234.99,,
David Geld,174,224,Enschede 2023-04-22 - Place: 3 Points: 224.0,,
Louis Blum,175,224,Enschede 2023-04-22 - Place: 3 Points: 224.0,,
Ruben Soerel,176,211,Amsterdam 2023-06-17 - Place: 13 Points: 211.26,,
Tomas Juch,177,211,Amsterdam 2023-06-17 - Place: 13 Points: 211.26,,
Jim Buhler,178,211,Amsterdam 2023-06-17 - Place: 14 Points: 211.26,,
Gadiel Rachelson,179,211,Amsterdam 2023-06-17 - Place: 14 Points: 211.26,,
Adéla Janků,180,211,Groningen 2024-02-11 - Place: 12 Points: 211.12,,
Dennis Erlenbusch,181,202,Enschede 2023-11-26 - Place: 9 Points: 202.16,,
Anna We,182,202,Enschede 2023-11-26 - Place: 9 Points: 202.16,,
Lorenzo Palm,183,202,Enschede 2023-11-26 - Place: 10 Points: 202.16,,
Ben Frischen,184,202,Enschede 2023-11-26 - Place: 10 Points: 202.16,,
Rowan Westerduin,185,190,NK 2024-06-29 - Place: 17 Points: 190.26,,
Niels van Oostrum,186,190,NK 2024-06-29 - Place: 17 Points: 190.26,,
Bas Rudolphy,187,190,NK 2024-06-29 - Place: 18 Points: 190.26,,
Liam van Hees,188,190,NK 2024-06-29 - Place: 19 Points: 190.26,,
Stef Boot,189,190,NK 2024-06-29 - Place: 19 Points: 190.26,,
Tom Gobee,190,190,NK 2024-06-29 - Place: 20 Points: 190.26,,
Thomas van Echtelt,191,190,NK 2024-06-29 - Place: 20 Points: 190.26,,
Teo Constantinescu,192,174,Enschede 2024-04-06 - Place: 17 Points: 173.88,,
Konstantin Dimov,193,169,Amsterdam 2023-06-17 - Place: 23 Points: 140.84,Enschede 2023-04-22 - Place: 33 Points: 28.0,
Kolja Jannes,194,168,Enschede 2023-04-22 - Place: 5 Points: 168.0,,
Lennart Wiepking,195,168,Enschede 2023-04-22 - Place: 5 Points: 168.0,,
David Moulin,196,165,Groningen 2023-05-27 - Place: 12 Points: 164.64,,
Milan Battistella,197,162,Amsterdam 2023-06-17 - Place: 30 Points: 105.63,Enschede 2023-04-22 - Place: 20 Points: 56.0,
Florian Verduijn,198,158,Groningen 2024-02-11 - Place: 14 Points: 158.34,,
Aart jan Lenstra,199,158,Groningen 2024-02-11 - Place: 16 Points: 158.34,,
Anicea Saliba,200,158,Amsterdam 2024-06-01 - Place: 17 Points: 157.5,,
Guillaume Paris,201,157,Groningen 2024-05-04 - Place: 18 Points: 156.66,,
Twan Schoonen,202,156,Amsterdam 2024-01-20 - Place: 14 Points: 156.24,,
Casper Zomerdijk,203,156,Amsterdam 2024-01-20 - Place: 15 Points: 156.24,,
Vishesh Sawhney,204,149,Amsterdam 2024-01-20 - Place: 25 Points: 78.12,Amsterdam 2023-06-17 - Place: 34 Points: 70.42,
Jesse M,205,141,Amsterdam 2023-06-17 - Place: 21 Points: 140.84,,
